Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =  2, dato=  257 , Tiempo de escritura=          35, Driver de salida=  1, Tiempo de lectura=         295, Driver de llegada=  2 , Latencia=        260 
 ID =  2, dato=  222 , Tiempo de escritura=         215, Driver de salida=  1, Tiempo de lectura=         545, Driver de llegada=  2 , Latencia=        330 
 ID =  2, dato=  206 , Tiempo de escritura=         315, Driver de salida=  1, Tiempo de lectura=         795, Driver de llegada=  2 , Latencia=        480 
 ID =  2, dato=  292 , Tiempo de escritura=         445, Driver de salida=  1, Tiempo de lectura=        1045, Driver de llegada=  2 , Latencia=        600 
 ID =  2, dato=  2a9 , Tiempo de escritura=         705, Driver de salida=  1, Tiempo de lectura=        1295, Driver de llegada=  2 , Latencia=        590 
 ID =  2, dato=  22b , Tiempo de escritura=        1025, Driver de salida=  1, Tiempo de lectura=        1545, Driver de llegada=  2 , Latencia=        520 
 ID =  2, dato=  2c6 , Tiempo de escritura=        1235, Driver de salida=  1, Tiempo de lectura=        1795, Driver de llegada=  2 , Latencia=        560 
 ID =  2, dato=  218 , Tiempo de escritura=        1585, Driver de salida=  1, Tiempo de lectura=        2045, Driver de llegada=  2 , Latencia=        460 
 ID =  2, dato=  2ed , Tiempo de escritura=        1755, Driver de salida=  1, Tiempo de lectura=        2295, Driver de llegada=  2 , Latencia=        540 
 ID =  0, dato=  b6 , Tiempo de escritura=        2045, Driver de salida=  1, Tiempo de lectura=        2545, Driver de llegada=  0 , Latencia=        500 
 ID =  2, dato=  2d0 , Tiempo de escritura=        2145, Driver de salida=  1, Tiempo de lectura=        2795, Driver de llegada=  2 , Latencia=        650 
 ID =  3, dato=  3c3 , Tiempo de escritura=        2445, Driver de salida=  1, Tiempo de lectura=        3045, Driver de llegada=  3 , Latencia=        600 
 ID =  3, dato=  3e3 , Tiempo de escritura=        2765, Driver de salida=  1, Tiempo de lectura=        3295, Driver de llegada=  3 , Latencia=        530 
 ID =  3, dato=  3de , Tiempo de escritura=        2965, Driver de salida=  1, Tiempo de lectura=        3545, Driver de llegada=  3 , Latencia=        580 
 ID =  3, dato=  326 , Tiempo de escritura=        3175, Driver de salida=  1, Tiempo de lectura=        3795, Driver de llegada=  3 , Latencia=        620 
 ID =  3, dato=  3e6 , Tiempo de escritura=        3515, Driver de salida=  1, Tiempo de lectura=        4045, Driver de llegada=  3 , Latencia=        530 
 ID =  3, dato=  342 , Tiempo de escritura=        3725, Driver de salida=  1, Tiempo de lectura=        4295, Driver de llegada=  3 , Latencia=        570 
 ID =  1, dato=  19f , Tiempo de escritura=        4195, Driver de salida=  3, Tiempo de lectura=        4505, Driver de llegada=  1 , Latencia=        310 
 ID =  1, dato=  119 , Tiempo de escritura=        4305, Driver de salida=  0, Tiempo de lectura=        4705, Driver de llegada=  1 , Latencia=        400 
 ID =  2, dato=  290 , Tiempo de escritura=        4055, Driver de salida=  1, Tiempo de lectura=        4905, Driver de llegada=  2 , Latencia=        850 
 ID =  1, dato=  160 , Tiempo de escritura=        4265, Driver de salida=  3, Tiempo de lectura=        5115, Driver de llegada=  1 , Latencia=        850 
 ID =  1, dato=  158 , Tiempo de escritura=        4865, Driver de salida=  0, Tiempo de lectura=        5315, Driver de llegada=  1 , Latencia=        450 
 ID =  0, dato=  8 , Tiempo de escritura=        3845, Driver de salida=  1, Tiempo de lectura=        5515, Driver de llegada=  0 , Latencia=       1670 
 ID =  1, dato=  108 , Tiempo de escritura=        5425, Driver de salida=  2, Tiempo de lectura=        5715, Driver de llegada=  1 , Latencia=        290 
 ID =  1, dato=  148 , Tiempo de escritura=        4545, Driver de salida=  3, Tiempo de lectura=        5915, Driver de llegada=  1 , Latencia=       1370 
 ID =  1, dato=  1b4 , Tiempo de escritura=        5325, Driver de salida=  0, Tiempo de lectura=        6115, Driver de llegada=  1 , Latencia=        790 
 ID =  2, dato=  29a , Tiempo de escritura=        3345, Driver de salida=  1, Tiempo de lectura=        6315, Driver de llegada=  2 , Latencia=       2970 
 ID =  1, dato=  15b , Tiempo de escritura=        5085, Driver de salida=  3, Tiempo de lectura=        6525, Driver de llegada=  1 , Latencia=       1440 
 ID =  2, dato=  211 , Tiempo de escritura=        2655, Driver de salida=  1, Tiempo de lectura=        6735, Driver de llegada=  2 , Latencia=       4080 
 ID =  1, dato=  1cd , Tiempo de escritura=        5775, Driver de salida=  3, Tiempo de lectura=        6945, Driver de llegada=  1 , Latencia=       1170 
 ID =  3, dato=  355 , Tiempo de escritura=        6685, Driver de salida=  0, Tiempo de lectura=        7145, Driver de llegada=  3 , Latencia=        460 
 ID =  3, dato=  3aa , Tiempo de escritura=        6125, Driver de salida=  1, Tiempo de lectura=        7345, Driver de llegada=  3 , Latencia=       1220 
 ID =  0, dato=  55 , Tiempo de escritura=        7015, Driver de salida=  2, Tiempo de lectura=        7545, Driver de llegada=  0 , Latencia=        530 
 ID =  1, dato=  100 , Tiempo de escritura=        6375, Driver de salida=  3, Tiempo de lectura=        7745, Driver de llegada=  1 , Latencia=       1370 
 ID =  2, dato=  255 , Tiempo de escritura=        7325, Driver de salida=  1, Tiempo de lectura=        7945, Driver de llegada=  2 , Latencia=        620 
 ID =  2, dato=  2aa , Tiempo de escritura=        6515, Driver de salida=  1, Tiempo de lectura=        8145, Driver de llegada=  2 , Latencia=       1630 
 ID =  1, dato=  1ff , Tiempo de escritura=        7215, Driver de salida=  2, Tiempo de lectura=        8345, Driver de llegada=  1 , Latencia=       1130 
 ID =  2, dato=  200 , Tiempo de escritura=         855, Driver de salida=  1, Tiempo de lectura=        8545, Driver de llegada=  2 , Latencia=       7690 
 ID =  2, dato=  255 , Tiempo de escritura=        7445, Driver de salida=  0, Tiempo de lectura=        8755, Driver de llegada=  2 , Latencia=       1310 
 ID =  0, dato=  0 , Tiempo de escritura=        7265, Driver de salida=  2, Tiempo de lectura=        8955, Driver de llegada=  0 , Latencia=       1690 
 ID =  2, dato=  ffd4 , Tiempo de escritura=        7695, Driver de salida=  3, Tiempo de lectura=        9155, Driver de llegada=  2 , Latencia=       1460 
